,text,accept,bug_fix,feature_addition,performance_improvement
19,    ib/{core hw}: have ib_umem_get extract the ib_ucontext from ib_udata          ib_umem_get() can only be called in a method callback  which always has a     udata parameter. this allows ib_umem_get() to derive the ucontext pointer     directly from the udata without requiring the drivers to find it in some     way or another.          signed-off-by: jason gunthorpe <jgg@mellanox,['bug_fix'],1,0,0
20,"    fix(ivy): handle pipes in i18n attributes properly (#30573)          prior to this change we processed binding expression (including bindings with pipes) in i18n attributes before we generate update instruction. as a result  slot offsets for pipebind instructions were calculated incorrectly. now we perform binding expression processing when we generate ""update block"" instructio",['bug_fix'],1,0,0
21,    fix: update types for typescript nullability support in examples ,['bug_fix'],1,0,0
22,    - refix bug #43840.     - fix bug #43841.     - remove redundant trailing dots from the error messages.     - fix tests. ,['bug_fix'],1,0,0
23,    asoc: tegra: use dai's not card's dev for dev_err          this is the actual device of the i2s or spdif controller reporting the     problem. if a future change converts these controllers to be codecs  then     there may be no pcm associated with the substream  so this change avoids     a crash.          signed-off-by: stephen warren <swarren@nvidia.com>     signed-off-by: mar,['feature_addition'],0,1,0
24,    removed podstatus.host          fixes #6165 ,['bug_fix'],1,0,0
25,    [stdlib] remove non-obvious conditional hashable conformances          this removes hashable conformance for types that do not already implement equatable:          - collectionofone     - anycollection     - dictionaryliteral ,['performance_improvement'],0,0,1
26,    drm/i915/gt: convert timeline tracking to spinlock          convert the active_list manipulation of timelines to use spinlocks so     that we can perform the updates from underneath a quick interrupt     callback  if need be.          signed-off-by: chris wilson <chris@chris-wilson.co.uk>     reviewed-by: matthew auld <matthew.auld@intel.com>     link: https://patchwork.freedes,"['performance_improvement', 'feature_addition']",0,1,1
27,    fix #4171 and a number of other transaction bugs ,['bug_fix'],1,0,0
28,    teach --histogram to diff          port jgit's histogramdiff algorithm over to c. rough numbers (todo) show     that it is faster than its --patience cousin  as well as the default     meyers algorithm.          the implementation has been reworked to use structs and pointers      instead of bitmasks  thus doing away with jgit's 2^28 line limit.          we also use xdiff's def,"['feature_addition', 'performance_improvement']",0,1,1
29,    reorganize source code in preparation to move into aspnet/aspnetcore          prior to reorganization  this source code was found in https://github.com/aspnet/dotnettools/tree/eba014d534ef34ea88ce6c3879b92743b825a7fe ,['feature_addition'],0,1,0
30,    blackfin arch: update blackfin header files to latest one in vdsp.          a) add new processor bf52x/bf54x header files     b) update blackfin bf533/bf537/bf561 header files to latest one in vdsp.     c) scrub watchdog/rtc masks from headers as we dont need/want them (too generic and the drivers dont use them)          signed-off-by: mike frysinger <michael.frysinger@analog.c,['performance_improvement'],0,0,1
31,    [test] add warnings check to estestcase          we are currenlty checking that no deprecation warnings are emitted in our query tests. that can be moved to estestcase (disabled in esintegtestcase) as it allows us to easily catch where our tests use deprecated features and assert on the expected warnings. ,"['feature_addition', 'performance_improvement']",0,1,1
32,    silgen: remaining fixes for @callee_guaranteed closures and enable it          - fix block to func reabstraction thunks block argument handling     - forward cast ownership     - fix applypartiallyappliedsupermethod ownership for @callee_guaranteed closures     - avoid a copy in buildblocktofuncthunkbody     - update tests for callee_guaranteed closures          sr-5441     rda,['bug_fix'],1,0,0
33,"    f2fs: fix remount problem of option io_bits          currently we show mount option ""io_bits=%u"" as ""io_size=%ukb""      it will cause option parsing problem(unrecognized mount option)     in remount.          signed-off-by: chengguang xu <cgxu519@gmx.com>     reviewed-by: chao yu <yuchao0@huawei.com>     signed-off-by: jaegeuk kim <jaegeuk@kernel.org> ",['bug_fix'],1,0,0
34,    enable go modules (#5835)          * remove vendor          * enable go modules          * ci: add command to fetch dependencies          * ci: update setting          * ci: update settings          * require go 1.11          * rename module name to gogs.io/gogs ,"['feature_addition', 'performance_improvement']",0,1,1
35,"    drm/i915/cnl: fix lspcon support.          when lspcon support was extended to cnl     one part was missed on lspcon_init.          so  instead of adding check per platform on lspcon_init     let's use has_lspcon that is already there for that     purpose.          fixes: ff15947e0f02 (""drm/i915/cnl: lspcon support is gen9+"")     cc: shashank sharma <shashank.sharma@intel.com> ",['bug_fix'],1,0,0
36,    usb: usb3503: add pm functions          the usb3503 needs to switch to standby mode while suspending and should     switch to hub mode when resumed. also we can control clock on pm     function.          signed-off-by: joonyoung shim <jy0922.shim@samsung.com>     signed-off-by: greg kroah-hartman <gregkh@linuxfoundation.org> ,['feature_addition'],0,1,0
37,    dmaengine: ioatdma: remove ioat1 specific code          cleaning up of ioat1 specific code as it is no longer supported          signed-off-by: dave jiang <dave.jiang@intel.com>     acked-by: dan williams <dan.j.williams@intel.com>     signed-off-by: vinod koul <vinod.koul@intel.com> ,['performance_improvement'],0,0,1
38,    acpi: add missing prototype_for arch_post_acpi_subsys_init()          in commit e7ff3a47630d (x86/amd: check for the c1e bug post acpi subsystem     init) a new function arch_post_acpi_subsys_init() was introduced. this     weak function can potentially be overridden on a per arch basis  introduce     the prototype for clarity.          silence the following gcc warning (w=1): ,['feature_addition'],0,1,0
39,"    staging: rtl8723au: core: avoid bitwise arithmetic with forced endianness          this fixes bitwise arithmetic performed on the host on a variable     previously converted to little-endian  and subsequently converted     again to little-endian:       - issue_action_ba23a() called with ""status"" crafted in host byte order       - ""status"" converted to le       - bitwise arithme",['bug_fix'],1,0,0
40,    drm/i915: parametrize and fix swf registers          parametrize the swf registers. this also fixes the register offsets      which were mostly garbage in the old defines.          also save/restore only as many swf registers that each platform has.          signed-off-by: ville syrjälä <ville.syrjala@linux.intel.com>     reviewed-by: jesse barnes <jbarnes@virtuousgeek.org>    ,['bug_fix'],1,0,0
41,    [swiftc] add 💥 case (😢 → 42  😀 → 5090) triggered in swift::constraints::constraintsystem::resolveoverload(…)          add crash case with stack trace:          ```     <t     <t     <t     swift: /path/to/swift/lib/sema/constraintsystem.cpp:1509: void swift::constraints::constraintsystem::resolveoverload(swift::constraints::constraintlocator *  swift::type  swift::constraints::,['feature_addition'],0,1,0
42,    drm/radeon: add dpm uvd handling for tn asics (v2)          v2: fix typo noticed by dan carpenter          signed-off-by: alex deucher <alexander.deucher@amd.com> ,"['bug_fix', 'feature_addition']",1,1,0
43,    fix creating literal enum values ,['bug_fix'],1,0,0
44,"    imx: fix iomux v3          commit ""arm: i.mx iomux-v3 replace struct pad_desc with bitmapped cookie""     (b705cb4d42e95a4a43a8945571c8613e71526c3d) introduced a typo which was     preventing my efikamx to boot. this patch is fixing that.          signed-off-by: arnaud patard <arnaud.patard@rtp-net.org>     tested-by: fabio estevam <fabio.estevam@freescale.com>     signed-off-by",['bug_fix'],1,0,0
45,    node: improve getactivehandles performance          improve performance of process._getactivehandles by sending handles in     batches to js to be set on the passed array. add test to check proper     active handles are returned.          alter implementation of getactiverequests to match getactivehandles'     implementation.          pr-url: https://github.com/nodejs/node/pull,['performance_improvement'],0,0,1
46,    staging: gasket: add spdx identifiers to all files.          it's good to have spdx identifiers in all files to make it easier to     audit the kernel tree for correct licenses.          fix up the all of the staging gasket files to have a proper spdx     identifier  based on the license text in the file itself.  the spdx     identifier is a legally binding shorthand  which can,"['bug_fix', 'feature_addition']",1,1,0
47,    net: rename net/nexthop.h net/rtnh.h          the header contains rtnh_ macros so rename the file accordingly.     allows a later patch to use the nexthop.h name for the new     nexthop code.          signed-off-by: david ahern <dsahern@gmail.com>     signed-off-by: david s. miller <davem@davemloft.net> ,['bug_fix'],1,0,0
48,     bug 911913 - squiggle location for unimplemented interface method diagnostic changed to reflect interface rather than class - matching vb implementation. (changeset 1252208) ,['bug_fix'],1,0,0
49,    ext4: make the extent_status code more robust against enomem failures          some callers of ext4_es_remove_extent() and ext4_es_insert_extent()     may not be completely robust against enomem failures (or the     consequences of reflecting enomem back up to userspace may lead to     xfstest or user application failure).          to mitigate against this  when trying to inser,['feature_addition'],0,1,0
50,    dmaengine: remove dma unmap flags          remove no longer needed dma unmap flags:     - dma_compl_skip_src_unmap     - dma_compl_skip_dest_unmap     - dma_compl_src_unmap_single     - dma_compl_dest_unmap_single          cc: vinod koul <vinod.koul@intel.com>     cc: tomasz figa <t.figa@samsung.com>     cc: dave jiang <dave.jiang@intel.com>     signed-off-by: bartlomiej zolnie,['performance_improvement'],0,0,1
51,    net: add rbnode to struct sk_buff          yaogong replaces tcp out of order receive queue by an rb tree.          as netem already does a private skb->{next/prev/tstamp} union     with a 'struct rb_node'  lets do this in a cleaner way.          signed-off-by: eric dumazet <edumazet@google.com>     cc: yaogong wang <wygivan@google.com>     signed-off-by: david s. miller <davem@,"['performance_improvement', 'feature_addition']",0,1,1
52,    introduce extensionhostdebugservice to no longer piggy back on the broadcastservice          fixes #70835 ,['bug_fix'],1,0,0
53,    fix scale invariance on last year vs. this year admin kpi graphs ,['bug_fix'],1,0,0
54,"    memcg: rename mem_cgroup_charge_type_mapped as mem_cgroup_charge_type_anon          now  in memcg  2 ""mapped"" enum/macro are found      mem_cgroup_charge_type_mapped      mem_cgroup_stat_file_mapped          thier names looks similar to each other but the former is used for     accounting anonymous memory. rename it as type_anon.          signed-off-by: kamezawa hiroyuki <kamez",['bug_fix'],1,0,0
55,    [scsi] zfcp: whitespace cleanup          cleanup the whitepace from the entire zfcp driver to prevent     to have those changes in future feature or function patches.          signed-off-by: swen schillig <swen@vnet.ibm.com>     signed-off-by: james bottomley <james.bottomley@steeleye.com> ,['performance_improvement'],0,0,1
56,    usb: serial: option: add support for simcom sim7500/sim7600 rndis mode          added ids for simcom sim7500/sim7600 series cellular module in rndis     mode. reserved the interface for adb.          t:  bus=03 lev=01 prnt=01 port=00 cnt=01 dev#=  7 spd=480 mxch= 0     d:  ver= 2.00 cls=00(>ifc ) sub=00 prot=00 mxps=64 #cfgs=  1     p:  vendor=1e0e prodid=9011 rev=03.18     s: ,['feature_addition'],0,1,0
57,    drm/i915: fix up semaphore_waits_for          there's an entire pile of issues in here:          - use the main ring_head register  not acthd. acthd points at the gtt       offset of the batch buffer when a batch is executed. semaphores are       always emitted to the main ring  so we always want to look at that.          - mask the obtained head pointer with the actual ring si,['bug_fix'],1,0,0
58,    ensure that the deferred tick runs this frame.          previously it was using date.now()  which might be a millisecond or two past the     now time of the current frame  and thus might not run until the next frame! by     using the current time  we guarantee that it runs at the end of this frame. ,['bug_fix'],1,0,0
59,"    [close #24435] send user_supplied_options to server          currently when puma gets a `:port` it doesn't know if it is rails' default port or if it is one that is specified by a user. because of this it assumes that the port passed in is always a user defined port and therefor 3000 always ""wins"" even if you specify `port` inside of the `config/puma.rb` file when booting your ",['bug_fix'],1,0,0
60,    merge 3.2.x branch into master (#2648)          * down-integrate internal changes to github.          * update conformance test failure list.          * explicitly import used class in nano test to avoid random test fail.          * update _gnuc_ver to use the correct implementation of atomic operation     on mac.          * maps_test.js: check whether symbol is defined before ,"['bug_fix', 'feature_addition']",1,1,0
61,    [mips] pmc msp71xx core platform          patch to add core platform support for the pmc-sierra msp71xx devices.          signed-off-by: marc st-jean <marc_st-jean@pmc-sierra.com>     signed-off-by: ralf baechle <ralf@linux-mips.org> ,['feature_addition'],0,1,0
62,    fix spec ,['bug_fix'],1,0,0
63,    acpi / pm: add missing pm_generic_complete() invocation          add missing invocation of pm_generic_complete() to     acpi_subsys_complete() to allow ->complete callbacks provided     by the drivers of devices using the acpi pm domain to be executed     during system resume.          fixes: f25c0ae2b4c4 (acpi / pm: avoid resuming devices in acpi pm domain during system suspen,['bug_fix'],1,0,0
64,    vti: simplify error handling in module init and exit          the error handling in the module init and exit functions can be     shortened to safe us some code.          1/ remove the code duplications in the init function  jump straight to     the existing cleanup code by adding some labels. also give the error     message some more value by telling the reason why loading the,['performance_improvement'],0,0,1
65,    team: send only changed options/ports via netlink          this patch changes event message behaviour to send only updated records     instead of whole list. this fixes bug on which userspace receives non-actual     data in case multiple events occur in row.          signed-off-by: jiri pirko <jpirko@redhat.com>     signed-off-by: david s. miller <davem@davemloft.net> ,['bug_fix'],1,0,0
66,    staging: speakup - syle fix permissions to octal          a style fix across whole driver.     changed permissions to octal style  found using checkpatch          signed-off-by: derek robson <robsonde@gmail.com>     signed-off-by: greg kroah-hartman <gregkh@linuxfoundation.org> ,['bug_fix'],1,0,0
67,    commands: make sure the hugo field is always initialized before it's used          wrap the field to make it accessible after initialization.          fixes #6193 ,['bug_fix'],1,0,0
68,    asoc: sun4i-codec: add fm playback volume  fm left  fm right  fm playback switch          add fm playback volume for allwinner a10 and allwinner a20.     add fm left  fm right  fm playback switch for allwinner a10 and     allwinner a20.          signed-off-by: danny milosavljevic <dannym@scratchpost.org>     reviewed-by: chen-yu tsai <wens@csie.org>     signed-off-by: mark brow,['feature_addition'],0,1,0
69,    sparc64: fix size check in huge_pte_alloc          signed-off-by: nitin gupta <nitin.m.gupta@oracle.com>     signed-off-by: david s. miller <davem@davemloft.net> ,['bug_fix'],1,0,0
70,    pass a code jar to sparkcontext in our examples. fixes spark-594. ,['bug_fix'],1,0,0
71,    fix(server side rendering): fixed issues with server side rendering for alerting & for auth proxy scenarios  fixes #6115  fixes #5906 ,['bug_fix'],1,0,0
72,    two different indexes with the same nested object name causing arrayindexoutofboundsexception  closes #1575. ,['bug_fix'],1,0,0
73,    add locale ca_es (catalan) (#4929)          * add locale ca_es (catalan)          * add locale ca_es (catalan). modify global locale in local-provider. ,['feature_addition'],0,1,0
74,"    [patch] ext3 resize: fix double unlock_super()          from: andrew morton <akpm@osdl.org>          spotted by jan capek <jca@sysgo.com>          cc: ""stephen c. tweedie"" <sct@redhat.com>     cc: andreas dilger <adilger@clusterfs.com>     cc: jan capek <jca@sysgo.com>     signed-off-by: andrew morton <akpm@osdl.org>     signed-off-by: linus torvalds <torvalds@osdl.org> ",['bug_fix'],1,0,0
75,    some improvements (#846)          * #833: do not require sudo on travisci          * #n/a: add python dev releases to travisci pipeline          inspired by brett cannon's advise [1].              1: https://snarky.ca/how-to-use-your-project-travis-to-help-test-python-itself/          * #837: try and kill proc and its children          * #n/a: show shell information on `thefuck,"['performance_improvement', 'feature_addition']",0,1,1
76,    rapidio: integrate rio_switch into rio_dev          convert rio switches device structures (rio_dev + rio_switch) into a     single allocation unit.          this change is based on the fact that rio switches are using common rio     device objects anyway.  allocating rio switch objects as rio devices with     added space for switch information simplifies handling of rio switch,['performance_improvement'],0,0,1
77,    nfs: fix an lock/open race when unlinking an open file          at connectathon 2016  we found that recent upstream linux clients     would occasionally send a lock operation with a zero stateid. this     appeared to happen in close proximity to another thread returning     a delegation before unlinking the same file while it remained open.          earlier  the client received,['bug_fix'],1,0,0
78,    fix missing overflow config  ref #6830 ,['bug_fix'],1,0,0
79,    [xla:gpu] relax producer-consumer multi-output fusion constraints.          fusing producer and consumer that generate a nested loop  for example when both producer and consumer are `reduce-window` hlo instructions  is avoided.          piperorigin-revid: 260916515 ,['performance_improvement'],0,0,1
80,    fix group formatting and padding.          very small or large numbers use exponent notation when converted to     strings.  if grouping is enabled and there is no decimal  the exponent     wasn’t being ignored  so the group separator was in the wrong place.          this also fixes a bug relating to padding and thousands grouping: the     padding calculation assumed a grouping,['bug_fix'],1,0,0
81,"    remove lenient url parameter parsing          today when parsing a request  elasticsearch silently ignores incorrect     (including parameters with typos) or unused parameters. this is bad as     it leads to requests having unintended behavior (e.g.  if a user hits     the _analyze api and misspell the ""tokenizer"" then elasticsearch will     just use the standard analyzer  comp",['bug_fix'],1,0,0
82,    ast: remove archetype from abstracttypeparamdecl          there's a bit of a hack to deal with generic typealiases  but     overall this makes things more logical.          this is the last big refactoring before we can allow constrained     extensions to make generic parameters concrete. all that remains     is a small set of changes to sil type lowering  and retooling     som,"['performance_improvement', 'bug_fix']",1,0,1
83,    reorganize source code in preparation to move into aspnet/aspnetcore          prior to reorganiziation  this source code was found in https://github.com/aspnet/websockets/tree/67f2c3149efd03511794ed64726a196ee0b1ab36 ,['performance_improvement'],0,0,1
84,    add iptables restore failure metrics          as mentioned in issue #80061  in iptables lock contention case      we can see increasing rate of iptables restore failures because it     need to grab iptables file lock.          the failure metric can provide administrators more insight          metrics will be collected in kube-proxy iptables and ipvs modes          signed-off-b,"['feature_addition', 'bug_fix']",1,1,0
85,    ubifs: introduce helper functions for debugging checks and tests          this patch introduces helper functions for all debugging checks  so instead of     doing          if (!(ubifs_chk_flags & ubifs_chk_gen))          we now do          if (!dbg_is_chk_gen(c))          this is a preparation to further changes where the flags will go away  and     we'll need to only change th,"['performance_improvement', 'feature_addition']",0,1,1
86,    pdio-311. add inactive attribute support to itemrec feature based.          also handle itypes for training. ,['feature_addition'],0,1,0
87,    use default shell from the process side          fixes microsoft/vscode-remote-release#38 ,['bug_fix'],1,0,0
88,    fix escaping in generation ,['bug_fix'],1,0,0
89,    use [[noreturn]] instead of c10_noreturn or caffe_noreturn (#30917)          summary:     pull request resolved: https://github.com/pytorch/pytorch/pull/30917          this is a c++14 feature  we can use this now.     ghstack-source-id: 95255753          test plan: waitforsandcastle          differential revision: d18869637          fbshipit-source-id: dd02036b9faeaffa64b2d2d30,['bug_fix'],1,0,0
90,    java 11 migrate remaining p (#1122)          * moves partial-response to java 11          * moves pipeline to java 11          * moves poison-pill to java 11          * moves priority-queue to java 11          * moves private-class-data to java 11          * moves producer-consumer to java 11          * moves promise to java 11          * moves property to java 11          * mo,"['feature_addition', 'performance_improvement']",0,1,1
91,    also fix flowinterleavespec          also-by: johan andrén <johan@markatta.com>     also-by: roland kuhn <rk@rkuhn.info>     also-by: martynas mickevičius <mmartynas@gmail.com> ,['bug_fix'],1,0,0
92,    libperf: add cpus to struct perf_evlist          move cpus from tools/perf's evlist to libperf's perf_evlist struct.          committer notes:          fixed up this one:            tools/perf/arch/arm/util/cs-etm.c          signed-off-by: jiri olsa <jolsa@kernel.org>     cc: alexander shishkin <alexander.shishkin@linux.intel.com>     cc: alexey budankov <alexey.budankov@linux.,['bug_fix'],1,0,0
93,    time: add get_timespec64 and put_timespec64          add helper functions to convert between struct timespec64 and     struct timespec at userspace boundaries.          this is a preparatory patch to use timespec64 as the basic type     internally in the kernel as timespec is not y2038 safe on 32 bit systems.     the patch helps the cause by containing all data conversions at t,"['performance_improvement', 'feature_addition']",0,1,1
94,    pager: set less=frsx also on windows          previously  this environment variable was set in the pager_preexec     callback  which is conditionally-compiled only on unix  because it is not      and cannot be  called on windows.          with this patch the env member of struct child_process is used to set     the environment variable  which also works on windows.          not,['feature_addition'],0,1,0
95,    sh: sprinkle __uses_jump_to_uncached          fix some callers of jump_to_uncached() and back_to_cached() that were     not annotated with __uses_jump_to_uncached.          signed-off-by: matt fleming <matt@console-pimps.org>     signed-off-by: paul mundt <lethal@linux-sh.org> ,['bug_fix'],1,0,0
96,    add a triggered errors assertion helper ,['feature_addition'],0,1,0
97,    mm: simplify memory_isolation && compaction || cma into contig_alloc          this condition allows to define alloc_contig_range  so simplify it into a     more accurate naming.          link: http://lkml.kernel.org/r/20190327063626.18421-4-alex@ghiti.fr     signed-off-by: alexandre ghiti <alex@ghiti.fr>     suggested-by: vlastimil babka <vbabka@suse.cz>     acked-by: vlastimil,['performance_improvement'],0,0,1
98,"    [patch] ib/ipath: purge sps_lid and sps_mlid arrays          the two arrays only had space for 4 units.          also changed from ipath_set_sps_lid() to ipath_set_lid(); the sps was     leftover.          signed-off-by: dave olson <dave.olson@qlogic.com>     signed-off-by: bryan o'sullivan <bryan.osullivan@qlogic.com>     cc: ""michael s. tsirkin"" <mst@mellanox.co.il>     cc: r",['bug_fix'],1,0,0
99,    minor bug fix  missing const in method signature ,['bug_fix'],1,0,0
100,    convert danglingonly to filters for `docker image prune`          this fix convert danglingonly in imagespruneconfig to filters      so that it is possible to maintain api compatibility in the future.          several integration tests have been added to cover changes.          this fix is related to 28497.          a follow up to this pr will be done once this pr is merged.   ,['bug_fix'],1,0,0
101,    drm/amd/display; fix kernel doc warnings          we had a couple of missing definitions and formatting errors.          v2: fix 'notifying' type          signed-off-by: harry wentland <harry.wentland@amd.com>     reviewed-by: nicholas kazlauskas <nicholas.kazlauskas@amd.com>     reviewed-by: alex deucher <alexander.deucher@amd.com>     signed-off-by: alex deucher <alexander.de,['bug_fix'],1,0,0
102,    drm/amdgpu/display: add dml support for dcn          display mode lib handles clock  watermark  and bandwidth     calculations for dcn.          signed-off-by: harry wentland <harry.wentland@amd.com>     signed-off-by: alex deucher <alexander.deucher@amd.com> ,['feature_addition'],0,1,0
103,    tcp: switch rtt estimations to usec resolution          upcoming congestion controls for tcp require usec resolution for rtt     estimations. millisecond resolution is simply not enough these days.          fq/pacing in dc environments also require this change for finer control     and removal of bimodal behavior due to the current hack in     tcp_update_pacing_rate() for 'smal,"['performance_improvement', 'feature_addition']",0,1,1
104,    ib/mlx5: add flow counters binding support          associates a counters with a flow when ib_flow_spec_action_count is part     of the flow specifications.          the counters user space placements of location and description (index      description) pairs are passed as private data of the counters flow     specification.          reviewed-by: yishai hadas <yishaih@mellanox.,['feature_addition'],0,1,0
105,    fix tostring of bytes value ,['bug_fix'],1,0,0
106,    [powerpc] rename get_property to of_get_property: drivers          signed-off-by: stephen rothwell <sfr@canb.auug.org.au>     acked-by: benjamin herrenschmidt <benh@kernel.crashing.org>     signed-off-by: paul mackerras <paulus@samba.org> ,['bug_fix'],1,0,0
107,    add supported archive format for --mesos-sandbox-overlay ,['feature_addition'],0,1,0
108,    adding mongoid 2.0 support  removing mongomapper for now ,['feature_addition'],0,1,0
109,    add align_corners option to grid_sample and affine_grid  change default to false (#24929)          summary:     resolves: https://github.com/pytorch/pytorch/issues/20785     addresses https://github.com/pytorch/pytorch/issues/24470 for `affine_grid`     subsumes and closes: https://github.com/pytorch/pytorch/pull/24878 and likewise closes: https://github.com/pytorch/pytorch/iss,"['bug_fix', 'feature_addition']",1,1,0
110,    don't take down http(s) server on connection errors (fixes #700) ,['bug_fix'],1,0,0
111,    rename warn() to warning() to clear the namespace          we want to use warn() as a variant of warn_on()  however a few drivers are     using warn() internally.  this patch renames these to warning() to avoid the     namespace clash.  a few cases were defining but not using the thing  for those     cases i just deleted the definition.          signed-off-by: arjan van de ven ,['performance_improvement'],0,0,1
112,    debug: drop support for variable substition for program and runtime in package.json          fixes #31675 ,['bug_fix'],1,0,0
113,    staging: olpc_dcon: olpc_dcon: fix spaces between operator and variables.          this issue is caught by checkpatch.pl and is related to the following     warning:             - check: spaces preferred around that '/' (ctx:vxv)          signed-off-by: emmanuil chatzipetru <chatzi.emanuel@gmail.com>     signed-off-by: greg kroah-hartman <gregkh@linuxfoundation.org> ,['bug_fix'],1,0,0
114,    ahci: add pci ids for intel bay trail  cherry trail and apollo lake ahci          add pci ids for intel bay trail  cherry trail and apollo lake ahci     sata controllers. this commit is a preparation patch for allowing a     different default sata link powermanagement policy for mobile chipsets.          signed-off-by: hans de goede <hdegoede@redhat.com>     signed-off-by: teju,['feature_addition'],0,1,0
115,    v4l/dvb: dvb_ca_en50221: return -efault on copy_to_user errors          copy_to_user() returns the number of bytes remaining to be copied which     isn't the right thing to return here.  the comments say that these     functions in dvb_ca_en50221.c should return the number of bytes copied or     an error return.  i've changed it to return -efault.          signed-off-by: dan ca,['bug_fix'],1,0,0
116,    pm / devfreq: add debugfs support with devfreq_summary file          add debugfs interface to provide debugging information of devfreq device.     it contains 'devfreq_summary' entry to show the summary of registered     devfreq devices as following and the additional debugfs file will be added.     - /sys/kernel/debug/devfreq/devfreq_summary          [detailed description of e,"['feature_addition', 'performance_improvement']",0,1,1
117,    runtime: rename sigaltstack to sigaltstackt          avoids a conflict between the type and function sigaltstack.          lgtm=crawshaw     r=rsc  crawshaw     cc=golang-codereviews     https://golang.org/cl/138920043 ,['bug_fix'],1,0,0
